"subclass","OA_01","OA_02","OA_03","X1i_01","X1i_02","X1i_03"
"DG(54:5)",26905020,35058244,40287348,73342888,88298016,108776912
"DG(54:6)",45208690,63016002,51877720,51985910,49215240,41464064
"DG(54:8)",9442447,4511455,982663,1275900,2974067,736214
"DG(56:10)",11319152,3816581,11464237,788869,906273,NA
"DG(56:12)",54608344,35121204,36175436,8231733,6617674,3628395
"DG(56:13)",32583554,24185390,21222414,7307410,11267927,7495452
"DG(56:3)",2843655,3747607,8310043,10068339,11584083,15252873
"DG(56:5)",11482833,8926116,11036531,20930232,28839868,39915740
"DG(56:6)",132964478,146714821,169042735,195597127,222009910,278487552
"DG(56:7)",102701104,134936512,128573912,50209888,107889776,50024580
"DG(58:6)",47249775,52350256,49387196,41723203,51612393,53050039
"DG(58:7)",113380316,128220684,145332672,131051192,159052656,194052164
"DG(58:8)",59062692,91991512,96435912,39363744,41643540,41945800
"DG(58:9)",47688872,57506448,37003556,38907004,39607556,53508184
"DG(60:17)",9974234,17594206,10666348,3183864,2821103,6406143
"DG(60:6)",2175946,1203888,5227922,13048219,19029196,23309848
"DG(60:7)",4671749,8221986,4614934,752657,1637877,NA
"DG(62:13)",12589919,14389605,12310378,1285715,67276,23152
"DG(62:14)",15134910,21625316,17747756,33196684,41717684,65072908
"DG(62:17)",41551312,23249836,2499740,3826561,4139868,1574306
"DG(62:6)",7751938,10880233,4147677,1514444,198703,NA
"DG(62:7)",4404361,6150176,6759408,703238,953035,NA
"DG(64:15)",13409436,13221513,14302506,919572,NA,317382
"DG(64:18)",6925501952,6043212288,4809676800,1888701696,1677814272,1394252416
"DG(66:17)",9148154,12535275,5721970,3632555,4472572,4974818
"DG(66:18)",26666570,25906366,17566178,9486599,8559172,7843229
"DG(68:15)",NA,NA,NA,7847,179130,NA
"DG(70:15)",15016484,24467592,6299130,37306780,11838472,14763846
"DG(70:16)",71993120,138312352,34952596,71973800,59525300,62527224
"DG(80:21)",25982440,31481902,14620530,992258,3323330,3594738
"DG(82:19)",13985722,11716523,7055696,1139602,1381700,1940676
"DG(82:21)",32094086,42709296,21473190,12232789,17576734,11416604
"FA(14:0)",4836360,4551558,5061350,392916,663033,197185
"FA(14:1)",1774016,648489,NA,849588,1088758,1306117
"FA(16:0)",243259024,236588624,269836160,106361440,91541320,93963352
"FA(16:1)",3603561,3575607,3667602,1358995,1095487,1135141
"FA(16:4)",1982268,7575810,9735491,4732007,1364650,3804073
"FA(18:0)",270245664,230245008,272842720,112685512,109846944,110367424
"FA(18:1)",187874752,149510192,174898304,67214072,69298992,79143512
"FA(18:2)",189862592,180907792,191805600,28560454,22713830,24633702
"FA(18:3)",6692176,8628194,8630219,1264526,992478,960895
"FA(18:4)",3698775,5669318,7528882,101576,58484,89825
"FA(20:0)",3274726,4671060,5293832,1232971,1067071,1331158
"FA(20:1)",9786502,5429453,5880222,1372906,1943569,1314326
