"subclass","DGAT_1.2i_001","DGAT_1.2i_002","DGAT_1.2i_003","DGAT_1i_001","DGAT_1i_002","DGAT_1i_003","DGAT_2i_001","DGAT_2i_002","DGAT_2i_003","OA_001","OA_002","OA_003"
"ChE(22:3)",11600000,12600000,7660989.235,7808817.097,4767226.092,3956674.918,2779035.101,12400000,11800000,5790814.698,4993985.459,7249822.778
"ChE(22:4)",1.34e+08,78400000,53700000,1.46e+08,1.86e+08,2.32e+08,25100000,84700000,63700000,22300000,25500000,29100000
"ChE(22:5)",4.1e+08,2.68e+08,1.82e+08,4.36e+08,5.3e+08,6.05e+08,1.22e+08,3.05e+08,2.43e+08,1.08e+08,1.24e+08,1.32e+08
"ChE(22:6)",4.94e+08,2.97e+08,2.41e+08,5.07e+08,5.75e+08,7.21e+08,1.82e+08,3.3e+08,3.03e+08,1.49e+08,1.83e+08,1.94e+08
"DG(16:2)",23800000,80800000,2.05e+08,8124359.713,4432648.485,7797072.366,27800000,40200000,50400000,1.16e+08,79200000,99700000
"DG(32:0)",10700000,17600000,18300000,9090408.396,10300000,8461996.783,18200000,15700000,13200000,19700000,22300000,31100000
"DG(32:1)",17611112.555,31606345.814,34136439.098,16341563.315,6575396.2709,14091253.836,35122244.562,29801555.104,35700000,19187002.35,34023223.254,47500000
"DG(32:3)",116636.9841,789177.317,159245.721,NA,NA,NA,906055.56,415275.903,530248.365,3438570.038,734387.334,887787.9099
"DG(34:0)",2.4e+07,36900000,40900000,19900000,19800000,17300000,35800000,31800000,28300000,39700000,51700000,74800000
"DG(34:1)",1.2e+08,2.29e+08,2.09e+08,1.18e+08,1.23e+08,1.2e+08,2.96e+08,2.61e+08,2.36e+08,3.25e+08,2.82e+08,3.24e+08
"DG(34:2)",2.23e+08,5.64e+08,5.31e+08,1.96e+08,1.95e+08,14400000,6.15e+08,5.1e+08,4.32e+08,8.2e+08,5.87e+08,7.4e+08
"DG(34:3)",2577851.0102,6016123.7668,9131951.226,2045948.67,266040.7146,686586.879,5220367.397,2772499.1122,5130116.5772,2453027.0384,3088335.167,20482663.878
"DG(34:4)",NA,2004564.578,770109.6228,216755.2431,286536.195,NA,824710.9956,1707402.868,734812.399,6235751.956,1880561.558,900084.5226
"DG(36:0)",21700000,29500000,35700000,17800000,1.8e+07,13400000,30300000,28600000,24600000,31600000,35800000,49400000
"DG(36:1)",2.42e+08,4.47e+08,4.42e+08,2.17e+08,2.37e+08,2.06e+08,5.03e+08,4.43e+08,3.95e+08,5.93e+08,4.42e+08,5.53e+08
"DG(36:2)",9.52e+08,1.766e+09,1.524e+09,1.374e+09,1.46e+09,1400400000,3.26e+09,2.565e+09,2.304e+09,3.25e+09,3.48e+09,3.663e+09
"DG(36:3)",150724380.128,418377081.632,420725485.005,125655789.362,115244643.2566,92100000,239953479.923,323401714.018,286717276.178,725569140.112,458571558.645,460606832.118
