"subclass","DGAT_1.2i_001","DGAT_1.2i_002","DGAT_1.2i_003","DGAT_1i_001","DGAT_1i_002","DGAT_1i_003","DGAT_2i_001","DGAT_2i_002","DGAT_2i_003","OA_001","OA_002","OA_003"
"PE(30:1)",1843.4925,385112.047,2895.372,3273.2022,4246.2216,104566.4355,1492.272,7251.0549,1712.8887,1768.164,26002.302,2880.3423
"PE(30:2)",1117190.65,1282722.85,1112486.258,1171722.415,1128019.719,1588597.931,820397.509,592434.15,890123.176,424532.492,910172.679,886174.948
"PE(32:0)",121880511.434,170955091.027,135565243.036,116286040.983,125453849.643,153982262.26,155899467.56,146295114.499,139546331.365,148228703.024,158501433.341,152276530.839
"PE(32:1)",131829986.5509,146701427.4793,155834451.6767,153419485.8507,163084852.2938,220698372.6073,190663334.9986,169432466.6478,165635153.2537,134800970.7481,209249864.9159,187899010.6363
"PE(32:2)",7588025.631,8436859.106,8748730.0693,7918118.5114,9104471.7158,7546840.319,9522696.06,8424357.7482,8369948.7077,9361173.2317,5006224.6634,8484762.7309
"PE(32:4)",3643439.397,4593868.681,4260575.453,2418100.806,2332209.069,3355421.543,2437752.137,1708302.977,2470788.344,2669935.103,2836595.648,2704935.161
"PE(32:5)",1362757.34,1510080.719,1659720.801,1196583.912,1054816.32,1515457.365,339412.479,589442.493,744585.812,990412.347,575463.9891,840461.629
"PE(34:0)",69432302.732,104664430.595,68263963.84,77025858.177,84665436.46,99792664.517,83142587.85,82678612.295,82648727.072,71423606.985,80055269.199,89574848.869
"PE(34:1)",1286702510.468,2087172133.87,1573630180.942,1441867735.3739,1574032836.2425,1798193222.3487,1967067794.053,1729817533.159,1860908005.867,2021611403.745,2209030054.826,2124563858.2948
"PE(34:2)",191837604.9005,345791222.5045,267212126.0087,274715567.985,297014019.2246,495601568.3396,357292363.4434,252647036.5328,250259971.2874,403820054.873,350350311.5421,441986944.9663
"PE(34:3)",8499781.3706,10845378.933,9420882.197,8956724.5785,10356213.631,12244904.698,10851983.774,10609306.557,7020771.879,12069625.446,9465856.99,11127360.177
"PE(34:4)",8448761.7093,12776343.191,12778343.158,7980213.3576,10328677.9485,10962110.334,9312931.2386,8519179.0432,7933592.5605,9785775.8556,10061452.2647,10557837.7856
"PE(34:5)",3088139.476,4088280.059,3539657.494,3153597.88,3882335.622,3610128.981,1775842.603,3019870.795,2908894.934,2986225.153,2961925.588,3320222.459
"PE(34:6)",1838431.875,2565818.1366,2529602.933,2354312.0906,2070593.7977,3040716.338,1437652.2006,1023366.077,958748.5647,1749116.792,1560637,1555329.43
"PE(34:7)",106738.801,167237.643,130770.846,5046.0717,289276.547,2916.3126,182290.873,55498.82,111985.863,117185.563,99305.099,77209.137
"PE(36:0)",27281278.156,44945305.951,29201476.271,10648977.3405,36235898.665,43649799.77,20665861.321,34817170.025,41803265.817,37047346.969,36746691.655,39739261.323
"PE(36:1)",1213307359.368,1781156776.8806,1339832940.668,1263003630.409,1387043537.3145,1700801342.8285,1472927201.7934,1450205737.853,1451507224.5808,1327475164.231,1620438853.642,1579874008.43
"PE(36:2)",3896032748.0975,8431973661.9367,6528028942.1031,5672975281.716,6242548654.3732,7572865716.6935,6271600667.978,6575342157.341,6005448596.9769,6213755388.273,7545541977.9308,7452965253.932
"PE(36:3)",91543059.5169,177904114.8251,146093581.8344,168369421.1356,193819536.3224,261962704.9631,192504770.0473,127651728.319,135260692.5626,123729960.684,193278394.5023,117492888.3907
"PE(36:4)",1136475800.114,1539272425.114,1272298132.0539,1081617860.295,1275917331.514,1349771555.768,1468987329.7136,1414401817.832,1300020669.8867,1478788736.493,1624173701.028,1492053264.959
"PE(36:5)",535069580.267,684324563.344,650471731.702,451093876.68,565144009.8323,487102394.603,615297053.687,634429266.2,577391252.9694,662049582.344,520214261.49,707926058.89
"PE(36:6)",67543685.1393,82184180.9614,70356738.6957,71562229.79,75573114.368,86867018.2826,77403867.1808,74467488.5472,69774556.3163,80242602.6353,84519280.474,79607765.7683
"PE(36:7)",1262168.441,811799.284,1040199.98,2173167.153,1476112,2363385.771,742240.147,938129.91,1129845.621,728714.043,1094344.702,1766811.545
"PE(38:0)",138312.2448,496567.361,269329.872,132515.7774,505587.329,632542.704,342432.5544,263720.628,70992.7344,18712.0173,248683.5747,351809.865
"PE(38:1)",39275975.317,60858769.797,44705925.251,40958760.046,45183456.676,57721543.189,51731649.458,52871872.59,53125435.835,49675582.075,59775042.381,58030231.06
"PE(38:2)",303004794.2627,405293116.65,316822279.1194,234969287.4332,265907127.5533,319384482.888,215835507.94,230825922.371,219864270.559,215567175.2459,246239162.3061,270120861.5058
"PE(38:3)",49500472.7631,72175072.7768,54074245.0212,41893477.032,63115550.8818,76497463.8955,38041293.5499,65706355.248,71234104.545,69224721.5871,73331675.2438,70669200.5496
"PE(38:4)",403939155.624,543383688.8597,464740555.4825,417094067.0387,476863484.2574,532576036.8161,526419759.3326,508735366.0936,498160181.389,544194552.049,605957911.977,589463662.8009
"PE(38:5)",1772465959.9272,2489390856.2674,2063261941.9648,1647956337.3492,1889139193.5918,2151435229.9723,2236482162.7184,2222638541.257,2049603047.8242,2297091112.3445,2447274419.196,2338545979.9625
"PE(38:6)",1385388770.32,1549232462.102,1596939810.3576,1459482626.634,1567411098.564,1757922804.461,1845125805.6414,1607980048.503,1541587543.885,1748137462.119,1809867101.6685,1344231930.908
"PE(38:7)",221999453.613,215036729.6349,219825522.62,259007375.7634,287361031.704,211063646.52,243214844.163,235919640.501,232620836.399,239711644.5854,266258639.728,215888992.8432
"PE(38:8)",1576732.031,1655641.141,1268160.426,1601063.722,1849307.989,2534827.11,1555113.898,1457715.828,1613959.437,1437516.918,1449285.94,1680315.821
"PE(40:1)",6244905.367,7537455.968,4629821.807,6066161.793,7317241.195,9359973,5928212.478,6592723.041,6257365.684,5010207.219,5950428.989,7214884.065
"PE(40:2)",35410482.004,54347961.438,39383387.519,37177977.697,41912285.66,54235484.3258,41843639.177,41952145.0271,44571600.155,44485004.94,52622997.026,53867149.269
"PE(40:3)",2842464.4115,3622530.6274,2910533.7819,2523152.8632,3138702.7797,4343394.3264,3255960.2306,4355778.4292,4786163.1818,4288394.9468,5349570.74,5544340.0197
"PE(40:4)",28548336.571,43464584.6568,32241260.8663,30134903.0208,35240899.513,45483607.5379,35439778.783,37007985.469,36119452.2679,35368624.255,40844146.6045,41871065.4391
"PE(40:5)",532735645.0863,706959406.4077,605541630.2139,524638466.8239,620766674.7288,711715866.9409,672358162.1747,657121814.1333,631044231.3554,680685895.705,741460915.8385,694248139.0484
"PE(40:6)",1184460834.518,1616961948.304,1376061886.191,1245071859.966,1431107241.039,1611891810.316,1592674721.994,1619643848.3006,1500900244.0923,1643151950.8414,1864688153.708,1693445674.0676
"PE(40:7)",1179510377.723,1644289090.705,1421642815.476,1339285075.383,1474337648.715,1575119645.3061,1681720703.393,1613327759.565,1526954296.935,1855631824.441,1962454548.967,1819402147.773
"PE(40:8)",144626099.099,149186388.52,138415761.334,187037817.16,196280235.41,221301308.434,185264227.305,176530753.954,166154480.512,171462977.759,187021431.819,177271255.557
"PE(40:9)",495117.864,636451.888,332906.572,699085.413,792384.213,814348.148,495512.129,793951.041,405981.091,374359.214,913957.84,503111.743
"PE(42:1)",358652.899,330470.897,214213.285,266069.644,357921.298,627497.618,275409.598,200845.721,274826.972,236509.72,148068.2895,397017.93
"PE(42:10)",12300000,18600000,15300000,11600000,10200000,12200000,18900000,17900000,16300000,18700000,18500000,17600000
"PE(42:11)",938313.803,1551019.805,1065915.306,298256.4261,499059.217,538255.7,1364490.741,1143140.944,687134.4456,1266708.714,1089194.293,995622.253
"PE(42:2)",442483.935,1155916.956,272438.4498,501558.396,386163.715,666946.145,532331.623,706149.661,127044.6924,176805.0294,691663.666,732490.387
"PE(42:4)",304206.621,562359.699,356769.876,285445.798,286735.233,510006.16,414628.401,448569.666,368407.539,396621.927,380047.2687,349832.7795
"PE(42:5)",9192498.163,12400000,10500000,8668215.169,9326980.982,10800000,7516244.386,7423173.372,7685268.568,8567073.914,8982222.163,8151567.291
"PE(42:6)",18315286.9591,23227275.768,17749807.469,20492040.213,23242670.5385,29957430.55,15774016.3149,18020680.308,19120760.7639,19209383.932,21141353.8471,21027689.2526
"PE(42:7)",6453514.338,7365772.3068,6835569.5224,6659945.804,9220753.5748,9877007.866,7000338.3598,6017546.3303,7053433.7566,6926486.6874,8410058.2648,7390500.3139
"PE(42:8)",1180233.671,1306045.096,878765.809,1217237.561,1314479.347,781713.16,1317466.85,1303592.084,973390.052,1340874.501,1249815.172,1446565.521
"PE(42:9)",4883106.688,6946404.942,6695667.636,3359004.238,4494747.543,4547135.12,7395818.075,15400000,5427553.644,7464156.92,7043973.423,6750078.831
"PE(44:11)",315960.427,70289.1354,294312.877,140686.03,1299.2187,67061.525,273315.881,153346.548,166986.11,19307.0664,223016.568,266740.374
"PE(44:12)",555338.181,655058.745,133656.8145,553852.833,62628.4845,250446.811,652500.02,624590.643,390946.33,628093.819,530875.983,607721.279
"PE(50:2)",88997.981,325179.849,96347.224,177369.144,211671.964,345240.641,91291.547,283882.98,294133.256,97665.37,161960.262,359138.103
"PG(28:0)",267632.908,319974.163,401278.97,364645.238,274761.123,545911.552,254288.285,176320.746,240525.068,366881.018,367567.998,610113.613
"PG(30:0)",1376692.839,1753437.916,1519429.139,3644919.272,2046711.062,5396395.624,2349942.256,2256441.076,2653112.201,2036770.142,2322498.45,4235612.205
"PG(32:0)",17400000,28700000,27200000,28100000,24200000,4.6e+07,25100000,24200000,24500000,31800000,29900000,35100000
"PG(32:1)",6305656.9563,11874750.268,8868379.9914,6010584.1521,7434640.2146,17400096.911,10237407.4677,10009840.4395,10929132.2771,11002761.486,10564261.495,13404696.261
"PG(34:1)",1.86e+08,2.48e+08,2.36e+08,2.16e+08,2.19e+08,2.96e+08,2.38e+08,2.16e+08,2.22e+08,2.3e+08,2.51e+08,2.27e+08
"PG(34:2)",11200000,16200000,15200000,1.2e+07,13100000,20200000,12900000,14400000,13100000,13100000,13500000,14200000
"PG(36:1)",24900000,56900000,41300000,55200000,23700000,2085.4098,6.2e+07,25300000,23900000,62700000,57600000,66800000
"PG(36:2)",1.03e+08,1.44e+08,1.31e+08,1.36e+08,1.46e+08,1.94e+08,1.39e+08,1.35e+08,1.3e+08,1.39e+08,1.5e+08,1.47e+08
"PG(36:3)",1348783.834,1972885.722,1563896.157,1866445.169,1827480.949,2809623.119,3962442.678,3807446.936,3071062.49,3775567.904,3909915.924,4309620.356
"PG(36:4)",381064.0746,481183.399,425091.5438,462039.8224,594689.201,846263.824,1106148.73,1130342.6646,1079065.024,1043104.623,1213969.1132,1081350.09
"PG(38:1)",2184476.964,3234923.34,2605192.392,3383008.188,3723684.342,3850269.376,2798048.822,2372279.545,2787636.932,3015256.034,3332954.051,3143651.48
"PG(38:2)",1111468.309,1770653.945,1075862.033,1229892.315,1037789.12,812765.837,1273535.687,1753148.404,1551916.619,1234308.203,1382445.289,1397020.424
"PG(38:3)",4571198.132,4437968.133,3992396.191,4448243.458,4769361.387,5131350.691,2619011.482,4770532.424,4264955.717,4574698.874,4592737.762,4448588.627
"PG(38:4)",1381656.332,2030684.4288,1492302.003,1502455.522,1649752.896,2413266.8526,1793267.663,1793821.285,1515182.329,1252410.96,1755452.637,1810123.384
"PG(38:5)",12800000,8037451.923,9415994.293,9275098.08,7320699.547,1.6e+07,10500000,11200000,10500000,8309751.176,12100000,12200000
"PG(38:6)",5052731.5555,5506810.209,5542280.7669,4566655.2383,4927703.382,5817636.2853,4184558.739,4179309.5004,4457356.6175,3364281.4657,4840481.716,4107932.5015
"PG(38:7)",128373.8649,42390.6447,257486.0574,81513.45,48815.9463,56806.2,303809.863,311747.681,150754.131,477577.337,195942.1557,502595.053
"PG(40:5)",2925449.334,4555194.077,4157113.521,2723884.944,2906789.91,3852922.807,2522889.101,3205974.153,2677241.34,2231211.987,2172974.815,2356345.736
"PG(40:6)",8206382.027,4498670.867,8277803.485,5387686.763,6357052.262,8400526.475,6013696.912,6638836.788,6748381.165,7155531.924,6832438.413,8647332.921
"PG(40:7)",57974916.209,69190386.555,58764849.926,49919326.8868,65707492.983,81110369.185,53661829.7036,61051432.778,54780791.531,59012513.892,56668817.03,51721485.1204
"PG(40:8)",2066078.186,1458453.6416,2783985.344,2736440.4456,3002267.645,2845207.409,2509023.684,1661546.556,1269620.028,2128920.063,2421864.152,1386009.0285
"PG(40:9)",543450.269,671749.088,690061.24,285768.818,274794.798,516613.998,167673.401,164805.832,163468.018,136536.22,125418.583,137835.232
"PG(42:10)",8621847.2035,9811221.256,9177264.6333,3932408.333,5037481.9874,4923321.766,2670000.26,3482134.264,1773906.4899,2509414.019,2659546.5268,1748856.1282
"PG(42:11)",1582840.281,2765135.049,2597343.281,1312248.607,1254359.63,2028078.421,855033.216,701985.666,638928.906,806798.806,662208.458,610633.656
"PG(42:8)",1004101.457,1035945.212,1081888.177,252914.5929,402723.916,350554.9203,144890.865,257185.1535,147702.753,106281.361,83590.3716,82864.6518
"PG(42:9)",1012352.6546,1187059.592,1634925.067,368234.5248,863836.642,874320.2679,173245.3804,132825.334,155933.8928,176005.2382,149325.422,NA
"PG(44:10)",3275220.095,3497097.4881,3043998.948,1136645.443,1321575.981,1788420.236,825982.455,683135.9937,310097.9818,812690.6597,704778.456,842327.095
"PG(44:11)",5367454.237,6055731.295,5197129.852,2634850.18,2843360.606,2766460.763,1626873.776,1648711.233,833712.387,1518708.634,1919638.416,1659980.211
"PG(44:12)",23100000,26100000,25900000,1.4e+07,15800000,20900000,9954505.469,10200000,3795741.645,10800000,11200000,10500000
"PG(44:9)",346230.24,355192.9884,270908.26,128734.98,126173.9637,99629.6655,46146.6765,41838.411,25950.406,40085.2353,10263.441,3482.2416
"PG(50:1)",648117.25,3315914.61,814284.236,1206870.004,9271921.151,11400000,16700000,13500000,12800000,15300000,16300000,1.5e+07
"PI(32:1)",177254.9183,1130760.0393,351761.4822,472108.1788,123931.4427,1319680.3156,97297.035,930470.2417,137331.9471,317020.0349,736801.1348,645437.9226
"PI(32:2)",249168.7659,794208.194,447792.731,752422.862,586594.967,1469010.013,90547.974,479308.509,24467.6274,154801.1043,230891.172,465183.828
"PI(34:1)",6028850.5,19138226.44,14551323.122,7986577.545,13876179.773,23686884.72,13201316.394,31769974.095,34917215.535,19886521.68,20139395.071,41893749.823
"PI(34:2)",2693622.201,7355116.989,4256480.104,4362768.637,5163745.262,9539286.989,6337307.714,1.1e+07,8061223.125,6062281.707,5605712.74,10500000
"PI(36:1)",1.17e+08,3.74e+08,2.02e+08,1.59e+08,1.3e+08,3.94e+08,1.93e+08,4.16e+08,4.47e+08,2.02e+08,1.78e+08,5.06e+08
"PI(36:2)",2551305.072,17768873.4033,7361333.5619,6897627.797,4588686.0326,18849633.0292,7150570.8224,8943149.8971,10199717.7844,7646394.5737,9268729.7045,18876420.1646
"PI(36:3)",4073048.205,11300000,7111533.876,5547420.433,4433244.763,11300000,6575001.536,10700000,9495423.294,6681078.526,7031129.804,11300000
"PI(36:4)",2100308.856,4133057.247,2320178.439,3636985.273,2355599.745,6675241.895,3534560.828,5074071.096,6602896.965,3013437.4224,3293286.044,8295129.3527
"PI(36:5)",1210766.192,1238053.73,330932.9394,945070.012,248311.1412,1098714.561,762651.499,1083371.07,223681.5774,463944.4287,119642.4951,400528.0485
"PI(38:1)",68981.748,1195315.974,257177.129,345828.631,31905.1461,492290.5041,555190.923,2373039.851,2302338.981,689682.693,873308.503,1884548.26
"PI(38:2)",3894752.576,11133630.314,5618632.393,4582559.015,3719186.328,6925097.345,6800502.103,11131922.841,11362603.222,7294873.846,6238402.587,13968173.308
"PI(38:3)",NA,63616.1907,NA,20767.7232,29090.2644,62583.6849,64241.0046,67685.7621,12332.5287,26041.8996,96098.193,37894.7409
"PI(38:4)",165818000.9022,402457321.6621,290988160.9086,349391283.1286,256918354.3625,521061684.4194,269545842.8483,427669328.7664,432177023.6051,308504101.2906,314239710.6372,446506017.842
"PI(38:5)",82300000,187200000,107400000,68700000,59445532.222,153400000,8.2e+07,103900000,121100000,92100000,8.3e+07,156500000
"PI(38:6)",3554365.46,8558018.212,4807020.784,3251926.994,2580139.282,6125854.102,2661757.319,3579573.78,3318250.883,2698037.955,2895758.523,5528439.571
"PI(40:3)",4555.1775,1169290.346,369838.392,38437.5405,135318.5841,1045295.022,514433.416,1105891.494,1087796.145,486957.361,412660.011,1214962.064
"PI(40:4)",4943416.9705,13296730.895,7643040.429,5546372.7617,4724459.539,11443512.029,6234871.916,11731690.2601,11705520.233,7119218.6671,6493404.428,12731794.185
"PI(40:5)",14435273.201,35929964.156,20522047.821,20512295.913,12764611.568,37183293.714,21320164.3,31723835.138,26648361.307,24036874.17,21377453.806,37873631.845
"PI(40:6)",5762326.647,13470720.228,7922792.047,6659900.351,4766196.953,14614270.701,7193245.867,15024354.366,14258926.748,7220217.325,9499569.108,15462355.069
"PI(40:7)",NA,29255.041,21786.4962,18474.0309,8336.874,40410.102,12692.4438,32536.3029,14288.7231,5368.138,11603.978,9902.52
"PI(40:8)",196500.989,341509.222,239344.983,107605.1319,30531.9615,253319.185,265287.877,42216.5967,240876.308,149675.653,158866.9638,308425.306
"PS(34:1)",NA,2560489.42,703779.144,NA,433904.236,1750689.426,1626995.047,2673679.102,3883318.581,1404249.498,1515563.229,10600000
"PS(34:2)",1100771.718,1123545.1729,1143498.0422,1299023.1942,1448758.208,1495975.0911,1990056.7668,1805908.2335,1715822.0178,1693073.959,1544318.3724,2000781.7499
"PS(36:1)",NA,21300000,4890849.1,157174.094,2464885.029,12400000,1371126.241,26100000,23200000,6453146.329,7795119.671,71100000
"PS(36:2)",NA,589867.1979,282338.217,190878.9018,237760.6417,1208781.4474,118083.1698,622897.5543,454427.1093,478083.5712,492277.0854,7358261.2111
"PS(36:3)",1165858.346,1257736.614,696242.484,1404576.995,1180728.829,1198217.34,1213211.201,1208077.829,1048585.186,1061158.441,1045345.531,990488.85
"PS(38:3)",152209.453,41791.2063,93364.415,49314.7833,28159.2552,46969.3068,25089.9804,6051.303,13040.3685,45537.7674,31664.5512,35783.7936
"PS(38:4)",3051778.2734,7759775.891,5604220.586,4647024.137,5174253.766,4381112.068,4372207.08,6422294.24,4590186.499,5425298.119,3892491.036,6189592.165
"PS(38:5)",296827.363,166950.1323,656865.395,67425.1248,520058.783,1694949.927,83018.8137,733041.3696,1269111.013,540808.777,673343.6988,1681474.152
"PS(40:5)",122396.1546,6670224.266,2092750.556,569244.356,1060081.55,6469919.879,1744836.403,12200000,8750654.188,3800504.804,4058920.589,29100000
"PS(40:6)",NA,2308985.47,337156.9365,NA,87761.4,1978599.007,544057.328,2497959.882,1511153.595,919970.787,338380.487,3809524.477
"PS(40:7)",NA,687492.2655,722869.665,342070.808,205247.546,3088289.19,242610.587,1157499.366,2606215.051,1783325.638,916093.0224,8327628.418
"PS(42:10)",128855.1978,109616.4357,175802.3769,105092.0313,211940.0637,359207.467,95805.7599,221725.4535,71152.6365,24738.2067,36891.1662,269812.164
"PS(42:8)",1646213.99,1789393.8,1509474.44,2027801.394,1801782.73,2181761.059,2148530.792,2274876.731,2229720.057,2457010.504,2160802.008,2358303
"PS(44:12)",312999.336,158318.647,181332.038,120415.755,90603.8541,242854.104,171001.297,341267.469,297427.9569,206280.7221,395203.858,303516.1806
"SM(36:2)",2452157.3524,3017023.559,1379896.969,4441552.408,1918926.1357,3393794.8171,2054124.9366,1483687.9393,2298580.4407,1122907.427,1241872.5114,2876386.7769
"SM(36:3)",29800000,29200000,29600000,27300000,27600000,36600000,27200000,2.7e+07,2.1e+07,21400000,18900000,20200000
"SM(40:1)",43400000,54100000,41100000,59700000,66300000,79700000,47400000,5.6e+07,49800000,37700000,37100000,44300000
"SM(40:2)",195019.5612,140988.4245,216008.7873,262328.1141,632038.224,265062.9885,320556.6441,231288.3621,143269.335,NA,158784.0528,85678.0773
"SM(42:5)",4.7e+07,47200000,41600000,66600000,69500000,71900000,7.2e+07,73800000,74200000,65700000,66400000,67800000
"SM(42:6)",3899727.863,846199.2015,5435590.944,850671.011,952092.538,876933.9408,797898.692,297412.002,236579.7159,1655101.811,1004146.16,867091.1139
"TG(22:4)",3635554.424,4041352.241,9808162.155,NA,NA,913213.959,915379.922,3633745.139,4819350.224,9719808.616,6547062.416,3728458.419
"TG(24:0)",159860.7378,741934.3935,1441447.657,298521.733,166060.789,171487.5996,2100895.98,1489186.999,967671.8358,3379145.828,1227469.54,1594301.926
"TG(24:7)",819907.19,1363193.291,1596553.59,593075.97,793863.863,816142.933,3251243.227,2781459.584,2551551.971,2711468.507,3331873.01,3518485.455
"TG(26:0)",1078244.673,5878566.045,4649506.651,1380872.684,1044055.345,549814.463,6845078.561,4075649.072,3051402.157,10400000,3610816.033,4036671.713
"TG(28:0)",211613.4033,4513781.937,3646955.08,940036.273,579677.42,277861.207,5770943.852,3293999.562,2548781.683,8971748.124,3266717.943,3137996.779
"TG(34:0)",18400000,22100000,22800000,1.8e+07,18500000,16200000,22500000,19500000,17400000,21400000,29100000,40200000
"TG(34:1)",1.2e+07,14500000,11600000,77600000,10500000,16900000,51600000,42900000,6766192.795,1.8e+07,13600000,35500000
"TG(34:2)",4185786.281,7033254.537,16600000,3248617.866,1934062.512,1056812.091,5495407.326,4052406.604,4609875.577,6802313.635,6065380.886,148968.8388
"TG(36:0)",6914512.837,14179970.59,14525598.232,7621650.4296,7487818.009,6344197.3257,6407763.6328,9511470.287,7933636.058,7024742.698,10233555.513,14977348.815
"TG(36:1)",130081900.6,190708657.485,166297567.967,283820044.817,141116586.867,154248498.052,301336225.172,268707769.688,162793891.85,242877275.232,172103369.648,263768264.73
"TG(36:2)",5e+07,6.4e+07,58200000,82500000,96300000,95800000,1.71e+08,1.52e+08,1.34e+08,1.6e+08,1.65e+08,1.94e+08
"TG(36:3)",4.6e+07,102200000,99200000,39800000,38600000,31400000,99100000,80100000,68800000,135300000,104800000,139100000
"TG(36:4)",42096122.215,158439848.32,159579518.634,21977640.743,18151016.263,11257878.663,133467150.795,94736960.743,61928804.082,255310634.95,102701416.429,187088173.498
"TG(36:5)",1.7e+07,60500000,53700000,11100000,9437970.033,6997906.459,49700000,36700000,30200000,79100000,51200000,54800000
"TG(38:0)",8304435.717,12558098.358,14130577.707,10375508.401,13616125.64,7451743.783,12092802.016,8520340.615,10399434.442,7039446.159,10702653.109,11685784.728
"TG(38:1)",23552279.668,29169719.143,14170382.694,159194827.583,27545212.965,46501143.227,70026811.147,88038932.095,24179578.272,32589264.98,22687561.627,54925394.497
"TG(38:2)",14222749.515,42922164.126,38285958.695,48505845.744,47135555.582,62400000,82146415.122,84880429.309,66344707.37,76991270.608,71439772.015,85651095.178
"TG(38:3)",5805666.725,12100000,11800000,2948678.542,3016003.504,2881473.633,6366013.522,12900000,11600000,17500000,13700000,4862006.991
"TG(38:4)",106089939.905,162498859.566,153166899.884,101817718.4624,118013718.401,108730213.899,186954122.3279,169268023.115,141637372.202,208276823.128,157520387.382,195536592.037
"TG(38:5)",17217055.633,24610527.157,17425961.002,1272652.0236,5092399.1,4724950.35,59883149.563,8258343.774,49172259.262,12128463.51,58631359.906,68350434.581
"TG(38:6)",2679231.045,676003.7277,1875994.439,4387587.349,210984.4542,1324560.903,539750.9643,9535603.887,1.7e+07,9054065.109,6090230.724,2642753.267
"TG(38:7)",3299093.0937,16422625.2,17986845.862,8830062.9621,5990004.457,5172780.597,8546478.888,15249422.8865,8077271.472,21576871.469,16953639.7484,8877737.253
"TG(38:8)",28331652.538,36691375.958,34486641.268,24988874.933,27394363.049,26299016.647,3704171.291,1369699.7804,1057372.9928,3700997.1839,1848477.394,3450040.93
"TG(38:9)",671922.4959,1466694.4797,1563052.1844,1761247.4968,1567674.7722,2314280.307,310115.2404,135381.3135,298197.1761,469797.4056,520126.8924,369893.5833
"TG(40:0)",12189766.809,8943041.521,10386101.596,8628005.493,7208870.589,9932134.806,7969169.016,9069806.606,14059618.002,6193802.709,7609181.714,9109835.386
"TG(40:1)",3308933.503,2370624.369,1649647.092,2401332.666,2779060.689,2895280.145,2255475.695,3213958.183,424280.3169,2666231.6,2300429.994,1659571.826
"TG(40:11)",156378.321,804824.574,4233073.523,1037569.642,3560127.996,1063662.481,114594.3984,110207.6544,NA,277457.442,37559.5161,63738.3822
"TG(40:2)",3352602.256,4305529.361,3898030.184,5852572.987,7119627.035,6811963.235,44500000,51100000,47700000,32300000,37300000,28800000
"TG(40:4)",433409.7504,404281.5027,587303.0292,559153.7142,259838.7873,212029.8642,582294.8214,519906.6984,533812.4364,588637.1004,929450.238,706584.3483
"TG(40:5)",18863994.484,23578106.512,18083048.403,27389190.173,32720379.088,33230722.936,50748776.41,39051410.325,34299673.997,46896729.671,43243830.928,52245985.206
"TG(40:7)",4280433.0664,9363881.503,8871913.854,14958272.924,5213823.461,5460132.081,23083484.697,7320941.0015,9948293.09,21877689.451,11834378.947,20623400.104
"TG(42:0)",3143894.884,890935.3134,546592.2837,2211571.328,1.1e+07,2251656.781,1928760.288,2905912.806,4523061.939,2747817.25,1555362.773,2104487.89
"TG(42:5)",1996859.887,3546570.334,655168.7124,6897422.361,3823540.177,3413640.159,1952266.531,3447316.162,867611.0562,635918.5251,2889503.539,2195991.542
"TG(42:7)",4227766.531,7040718.519,6316441.432,3102950.418,3224078.372,2458956.838,6956561.629,6093048.529,3935377.54,8309624.711,7739464.547,8325485.036
"TG(44:0)",25100000,30700000,11800000,1.7e+07,27800000,22600000,15300000,21100000,14200000,20300000,16300000,18300000
"TG(44:1)",16300000,20900000,16200000,17500000,16700000,17300000,20400000,22300000,24500000,15800000,21500000,15900000
"TG(44:2)",7005321.111,9826988.321,8279520.056,10400000,11200000,11200000,28800000,32600000,28200000,21100000,24500000,22300000
"TG(44:3)",1553145.171,2140737.643,1414310.309,1612471.052,1600776.892,1515601.702,3547015.055,4679067.798,4165710.98,3360926.893,4189484.936,4230859.314
"TG(44:7)",8741663.645,14200000,15900000,5029702.889,4142147.686,2957018.789,12300000,12800000,1.1e+07,13800000,12900000,16600000
"TG(44:9)",795897.978,1111578.968,1730847.429,226391.9904,158869.171,NA,1977936.356,183115.6587,1497760.883,3235265.31,1962163.278,2977614.722
"TG(46:0)",3.7e+07,44200000,50700000,4e+07,27500000,29700000,54400000,5.2e+07,39900000,31900000,33800000,40600000
"TG(46:1)",31396946.104,28921444.261,39839666.733,53146753.605,49306986.063,57876460.452,50663551.614,66620166.955,60793245.71,38957056.4,41068421.59,44211576.616
"TG(46:2)",10400000,5887209.448,7620074.877,59200000,67500000,74500000,37400000,89300000,8.2e+07,34200000,33400000,5.6e+07
"TG(46:3)",7358586.952,7677653.653,5832056.257,11400000,11200000,10700000,8975089.038,1.7e+07,14200000,4739533.083,11900000,10700000
"TG(46:8)",5952263.37,10300000,7883733.709,5111467.182,6829230.602,4824650.475,12300000,16500000,11400000,11500000,19200000,2e+07
"TG(48:0)",80800000,74800000,85600000,1.48e+08,60400000,55800000,59600000,78900000,70300000,41400000,44800000,70100000
"TG(48:1)",113391169.67,116209945.643,108182166.1578,156552135.881,168149598.936,171105640.994,136867812.201,210572747.319,201108470.188,120576920.837,140455248.619,135173244.216
"TG(48:2)",115587885.446,105435493.507,77726527.026,379197400.171,403593636.045,491600000,297074670.317,420300000,349900000,247374330.333,296848128.559,270623644.946
"TG(48:3)",45973672.407,39444785.489,37235285.21,85979040.661,117521387.54,128256765.327,77754393.628,150398732.475,122179240.216,76198280.184,76522539.121,83168295.093
"TG(48:4)",4602423.814,5434376.308,5675781.365,6581602.374,438583.5837,7226212.247,988780.0836,1283703.532,8683965.576,6415654.05,7681043.534,9012622.907
