"subclass","DGAT_1i_001","DGAT_1i_002","DGAT_1i_003","OA_001","OA_002","OA_003"
"LPE(18:0)",8862412.582,11500000,11300000,14700000,1.4e+07,16800000
"LPE(18:1)",7063228.4865,8125932.921,10472504.961,9251900.9335,9194676.6715,11426849.083
"LPE(18:2)",3377221.871,4184540.73,4503007.493,3309259.809,4116631.272,4183748.503
"LPE(20:1)",3190547.5565,3553110.6141,4171660.67,2695336.475,3381231.9055,3157860.4315
"LPE(20:4)",1622892.419,1766456.945,2082444.42,4013023.057,3933099.584,4388494.598
"LPE(20:5)",22530.462,101506.314,183437.39,334328.462,353299.811,499795.867
"LPE(22:1)",10469.2848,322617.379,378494.329,276974.127,468175.891,363705.096
"LPE(22:5)",943981.535,937328.123,1194186.29,1013596.629,1234257.272,64142.0451
"LPE(22:6)",689444.841,2185551.166,2959866.956,2816093.736,2593182.592,3296944.087
"LPG(18:1)",626277.333,643102.414,860961.08,450285.59,568956.285,547577.317
"LPI(18:0)",7497.3606,57989.3661,314554.239,111165.3978,297876.06,158074.2864
"LPI(18:1)",46496.6394,5578.4247,34026.3147,4908.7803,289052.633,1628.1282
"PA(18:0)",1005888.579,1004712.238,1254722.95,1402152.234,1183747.738,1439106.964
"PA(18:1)",342481.44585,316213.11775,476009.842475,405519.849675,527653.00485,685998.504
"PA(20:0)",6540.657,235055.22,3147.8019,86442.5061,565188.3594,1031238.9
"PC(10:1)",9525862.775,213280.5513,1.1e+07,440541.5496,963320.6088,615205.8393
"PC(12:0)",810704.025533333,767012.020566667,1295015.64683333,554324.7386,512467.306133333,718693.144366667
"PC(12:1)",970508.4794,2989942.08,1726523.4335,2371809.2135,1329046.5883,3893598.276
"PC(14:0)",7617077.91497778,8861807.58888889,8611290.67702222,8806045.63787778,8399643.88733333,7505433.0163
"PC(14:1)",8160745.97287143,9417216.97742857,11433140.5175714,8314543.06185714,8902274.32175714,8403648.76228571
"PC(16:0)",63687509.1499412,64337077.9927206,81083759.3763088,74122739.3024412,77119729.1640441,82168838.2805971
"PC(16:1)",44943759.9395423,43773708.9322,49463208.523,34697849.4437038,39875394.8378077,40426565.8915269
"PC(16:2)",1088670.96475,1009414.1433,1636030.45195,543116.4778,1157531.89,926589.545775
"PC(18:0)",32175314.6888,33850708.400765,43252811.994,33584096.569705,36606433.86154,35810194.50282
"PC(18:1)",57644137.13775,56717094.8392024,74829431.2587385,53201957.0726122,56155751.0729268,62975850.0317103
"PC(18:2)",14785207.62125,15168853.3600583,17739183.9105,15224162.89425,17171923.9618333,16006908.1346667
"PC(18:3)",9447026.46635555,12184470.9899111,12463005.1948889,9656810.18355555,11293025.6504444,11586008.4755111
"PC(20:0)",1997803.13515,2297856.54166667,2923992.34483333,2271885.22913333,2634488.8775,2560165.93866667
"PC(20:1)",20302557.79215,23954172.40263,26441341.8483,18508242.08429,19229645.28152,19857139.4919
"PC(20:2)",88302923.0066667,71901757.6386667,110648541.538133,93986079.1167667,102854192.97,99929539.424
"PC(20:3)",4953253.02217143,6407052.23221429,5835274.43642857,5369342.9265,6458783.07214286,6259410.65881429
"PC(20:4)",8889254.30584091,10437458.7563636,11086821.6879864,11766435.6275318,12665376.6903045,12424003.6931545
"PC(20:5)",2943509.59194444,3448621.98536667,3963397.82435556,4188142.41538889,4133675.55594444,4066386.55722222
"PC(22:0)",135920.2722,108658.8612,358781.062,296911.282,457901.064,579903.431
"PC(22:1)",4277797.772,4353699.6125,7795971.353,3772333.748,5016299.3055,4764067.9555
"PC(22:2)",594432.736,371315.726,647931.59,799716.195,41956.2516,946302.181
"PC(22:3)",5950346.4805,8430397.968,8279145.8075,7394773.3775,8600493.0285,7470888.1985
"PC(22:4)",3757813.806,4491826.1047,4758541.80646667,1439159.50758333,769433.786283333,1820980.42275
"PC(22:5)",7869637.7440375,9165835.9573125,8666486.905875,6856224.9555875,6727321.75860625,6592711.574675
"PC(22:6)",5676161.60520909,6660494.32532727,7334483.14015909,6117793.07887273,6851615.77765454,6478804.81737273
"PC(24:1)",133865.8729,106926.28665,211179.065,350439.6891,321526.6896,38140.51395
"PC(24:2)",NA,91701.117,191926.877,102908.179,58899.8,29982.308
"PE(12:0)",2371599.1525,2179778.9125,3062712.707,2127028.998,2151396.2735,2107483.53
"PE(12:1)",633176.51706,641350.96854,922590.35632,489375.9956,457467.28822,510409.0512
"PE(14:0)",2326046.61876154,2579250.8324,3157012.33273333,2739367.696325,2383118.99497692,2711627.98331538
"PE(14:1)",2626935.75533333,2824706.686,3266959.169,2124697.58166667,2125912.18033333,2511076.90033333
"PE(16:0)",124987953.834973,139193280.023661,159734550.932478,175089663.154905,184787991.826888,169775489.59027
"PE(16:1)",33372492.5186733,39774950.7578233,42630301.4953167,40415404.1090233,35873494.09296,42181666.4767867
"PE(16:2)",846360.7355,942153.125,1291269.1668,760883.48865,762050.947,861746.35615
"PE(18:0)",91555714.556769,105003184.71589,123521838.049303,112724445.971593,126112410.482176,121399177.337221
"PE(18:1)",299450478.664185,330588646.737879,390595243.096168,349258515.555202,401610359.166066,391458099.843583
"PE(18:2)",40975810.681064,44677677.301728,51474851.1863962,35703615.2373036,37059346.3479107,36390227.2341393
"PE(18:3)",2683991.842875,2562074.06475,2680035.05175,2754525.81675,2660079.91175,2458755.61975
"PE(20:0)",4682314.35640769,5257561.53910769,6236113.03056154,4756996.80178462,5236066.58293846,5181791.34898461
"PE(20:1)",27178259.9177389,31209980.3176667,36562871.7576944,32260252.8352353,33528647.2811778,36078398.0589059
"PE(20:2)",3220889.83765,3263306.4011,1799419.36383333,2571220.7233,2901581.2274,2610791.46291667
"PE(20:3)",6023437.18141,7862141.16429,9920942.35834,10934383.42992,11021409.3246,9371741.74355
"PE(20:4)",104071434.3796,122681620.7605,130679783.760732,144148648.481685,138751532.840139,141559134.252289
"PE(20:5)",52100161.4005909,52937386.7945455,61613512.2042727,71558303.9306727,74348271.8504546,68989220.6235636
"PE(22:0)",3175803.7955,3801988.214,4934989.58,2703414.573,3165238.12885,3782358.42225
"PE(22:1)",12997400.5473333,14592350.4633333,20060329.6033333,16639687.6773333,19711295.3473333,20137278.3966667
"PE(22:2)",2302318.86508,2644073.7668,3408854.28616,2690528.25696,2988813.072,3351754.75754
"PE(22:3)",4511027.31956667,5490600.7986,6569106.29666667,6101713.88536667,6898367.10933333,7105422.5203
"PE(22:4)",11823188.7369556,14633214.4238667,14972240.0633333,18681488.864625,17503180.7853444,17432007.5785444
"PE(22:5)",106071537.193538,121633471.623905,140793692.689667,137379159.130752,152773132.291995,141099291.223495
"PE(22:6)",105581800.263746,116415361.606293,121026060.687168,135476050.314621,148447914.004714,122515049.909271
"PE(24:0)",266069.644,357921.298,627497.618,236509.72,148068.2895,397017.93
"PE(24:1)",501558.396,386163.715,666946.145,176805.0294,691663.666,732490.387
"PE(32:1)",177369.144,211671.964,345240.641,97665.37,161960.262,359138.103
"PG(12:0)",364645.238,274761.123,545911.552,366881.018,367567.998,610113.613
"PG(14:0)",3916864.74,3665285.7225,9048197.812,5194173.6275,4783768.5995,7117806.1025
"PG(16:0)",31068333.3202333,30397598.8507333,44542359.4464444,33421087.9063333,35468266.1474444,34178366.6781111
"PG(16:1)",3475821.848525,3824898.944475,6239225.77775,4057190.4275,4253791.225425,4526822.8285
"PG(18:0)",27678561.7505,11888338.811,98183.7702,31414614.146,28940111.537,33529393.203
"PG(18:1)",35754426.7604111,36729235.2216111,47596826.1352111,38882740.4541111,41181026.3943444,39986476.2276667
"PG(18:2)",1353959.52176667,1640586.24233333,1503640.2171,1852655.89523333,1915174.555,1793427.36416667
"PG(18:3)",21385.7184,134345.223,174946.209,208736.959,190256.7372,121533.589
"PG(20:0)",3383008.188,3723684.342,3850269.376,3015256.034,3332954.051,3143651.48
"PG(20:1)",1229892.315,1037789.12,812765.837,1234308.203,1382445.289,1397020.424
"PG(20:2)",4448243.458,4769361.387,5131350.691,4574698.874,4592737.762,4448588.627
"PG(20:3)",459574.8391,535967.066333333,756270.6179,419444.391733333,822023.2965,786411.0492
"PG(20:4)",1424460.1415,1350120.55618182,2365969.09721818,1212403.5597,1697333.20923636,1610440.72987
"PG(20:5)",1298331.82575,1278976.71335,1719937.84275,740866.883,1002101.05795,915182.29355
"PG(22:4)",1032820.956725,1147105.856425,1442579.8952,779583.287325,719982.69465,806101.56985
"PG(22:5)",1274216.88047143,1523907.02944286,1855651.2121,1303170.53967143,1313044.52825714,1743856.76046667
"PG(22:6)",8184215.27777273,10143258.6294818,12458523.4352455,8126732.94283636,8773654.16457,8020665.4667
"PG(32:0)",1206870.004,9271921.151,11400000,15300000,16300000,1.5e+07
"PI(14:1)",437117.6269,308257.35685,879658.8098,127966.3101,172465.7124,274493.14065
"PI(16:0)",2222148.52672,3019414.29174,5435248.15548,4067927.65086,4193483.72046,9094636.08096
"PI(16:1)",2155599.888,2277978.91033333,5351848.13933333,3188230.63533333,3155956.231,5651795.09743333
"PI(18:0)",42715810.6535,34387590.441525,77123014.5525077,43095778.6546538,41777426.0378308,80795961.3185538
"PI(18:1)",16439672.3385267,14688146.0641467,40053718.8332933,22236532.13454,19960561.7138,49001274.2039267
"PI(18:2)",4425140.56966667,3245055.58833333,10685883.8956667,5060818.239,5701721.51733333,10299667.973
"PI(18:3)",84063.543,9185.472,88772.807,27677.5164,77179.877,55182.4677
"PI(20:0)",59929.4457,15840.561,43512.029,19128.4221,175870.095,531794.185
"PI(20:1)",1596037.827,1251283.49255,3054915.45255,2596763.0265,2393447.2855,5337372.425
"PI(20:2)",1736311.992,1248524.489,1307556.944,2791030.486,2324816.519,5177976.718
"PI(20:3)",2691219.0261,2419555.1392,6931291.84245,3228048.8948,3613449.886,4636421.29045
"PI(20:4)",57450212.8115,43997034.952,91599181.5962857,54979331.8167286,54429612.0693714,82598227.943
"PI(20:5)",6191189.58833333,2906018.91273333,11188972.3253333,5236966.43356667,5239275.57403333,10209987.9001667
"PI(22:3)",38437.5405,135318.5841,1045295.022,486957.361,412660.011,1214962.064
"PI(22:4)",2542784.00953333,1960521.6315,6281659.3778,3803669.93853333,2867965.7324,6481567.28233333
"PI(22:5)",11381135.8625,8233098.4765,20100000,13053421.9015,12973671.9755,20353895.9935
"PI(22:6)",1158051.32845,8336.874,2227340.4015,459370.83,1381914.5675,2832232.801
"PS(16:0)",1286730.603,923312.886,1546938.9225,1522793.585,1491705.8505,6117620.352
"PS(16:1)",708434.7931,608382.7505,675502.00605,556447.364,560907.7157,678014.94795
"PS(18:0)",883853.86695,1587475.385925,5762305.1545,3203054.43595,3743882.82215,27520882.194
"PS(18:1)",442863.903716667,641659.13092,2261166.63057,1482689.64612,1271222.97744,10003714.80317
"PS(18:2)",738804.7524,798511.61635,1231589.933,918057.4724,928903.7178,4270315.185
"PS(20:2)",1160564.39076667,1003556.93806667,1142315.90193333,1187902.23746667,1079270.69673333,1128191.8812
"PS(20:3)",2028906.021,2533620.498,1321802.776,3061508.781,1160958.971,3211453.055
"PS(20:4)",930211.757366667,1124210.7049,1704488.89533333,976445.440566667,1147255.64333333,1643141.80866667
"PS(22:5)",569244.356,573921.475,4224259.443,2360237.7955,2198650.538,16454762.2385
"PS(22:6)",543159.14866,480035.60958,1222993.1848,935527.15858,780838.78252,2312555.18864
"SM(18:1)",3789732.292,1556079.1,3007186.858,1122907.427,907402.2192,2239518.15
"SM(18:2)",27300000,27600000,36600000,21400000,18900000,20200000
"SM(22:0)",29981164.05705,33466019.112,39982531.49425,37700000,18629392.0264,22192839.03865
"SM(22:2)",651820.116,362847.0357,386607.9591,NA,334470.2922,636868.6269
"SM(24:3)",66600000,69500000,71900000,65700000,66400000,67800000
"SM(24:5)",850671.011,952092.538,876933.9408,1655101.811,1004146.16,867091.1139
"SM(d14:0)",651820.116,362847.0357,386607.9591,NA,334470.2922,636868.6269
"SM(d18:1)",22910100.82575,24102042.9095,30046030.1997,15469502.3095,14477887.0948,16901652.315975
"SM(d18:2)",33431164.05705,35066019.112,36082531.49425,65700000,33279392.0264,33942839.03865
"TG(10:0)",13848989.91,14579194.5931667,15524639.4276667,14034224.1331667,11735172.6358333,14683250.2631667
"TG(10:1)",6516904.2308,6861824.65666667,3993207.767,58490062.0043333,33822261.2986667,44610519.7356667
"TG(10:2)",1106593.603,1279073.661,585741.615,254160.8154,215946.2574,218610.7809
"TG(10:3)",1809486.92096,1824651.29304,1448483.9223,2837462.22295,2681653.70772,2967130.76582
"TG(10:4)",1759382.18635,2265259.32425,2075511.67433333,4425223.6581,6177495.63635,6678677.739475
"TG(12:0)",27428551.4299857,29295199.0752143,33399879.1594357,21077009.4184286,25132529.112,26504458.0718571
"TG(12:1)",30941848.0776375,27117226.1682188,27549506.114325,50706293.5954062,44225330.1491875,55140530.2166312
"TG(12:2)",104036.1036,317333.76,NA,9746254.883,5131359.906,1550434.581
"TG(12:3)",9125323.15533333,9893500.156,9323361.332,11420312.3546333,7679126.583,5445718.67233333
"TG(12:4)",4058272.924,4738834.409,2594905.7155,9498749.0335,8473531.208,5625929.2615
"TG(14:0)",135599121.169412,158471026.792118,162311737.994588,95440197.7475294,107557674.623529,110116983.060588
"TG(14:1)",60724202.08366,37580758.3994,55153893.5553333,28563752.8,29853135.9906,35016797.4369
"TG(14:2)",8195816.03933333,5918535.242675,12763106.1235,7518852.581,7485300.73275,7124454.119
"TG(14:3)",7113397.314,4409353.401,4136677.874,136693.045,178166.4084,531802.581
"TG(14:4)",378680.9151,390400.822,151060.725,4440178.424,5475473.34,1228394.884
"TG(16:0)",192788633.210713,199725498.195132,193929376.328842,102313994.698395,114062721.925632,114909230.388355
"TG(16:1)",153104683.123919,169734293.997256,221364336.93437,129452835.36237,156307139.676226,139406087.743567
"TG(16:2)",3455854.02046667,3710082.48633333,3890834.632,9511755.10333333,11354054.426,13192538.2406667
"TG(18:0)",225127755.05745,250997816.523467,272321811.985335,89403649.9062933,111771839.002537,124465895.812877
"TG(18:1)",440545596.585624,501248899.396117,543344468.58926,203151383.826639,246527441.61037,240638854.99965
"TG(18:2)",448642246.35616,412118795.594781,491226984.116467,438995523.134029,457333179.240806,464927552.396623
"TG(18:3)",63323175.5883545,68109649.0846,76775635.9089048,78590049.3986455,75818200.1557454,71953470.1840091
"TG(18:4)",9106698.657,6923661.717,5567292.1665,39618346.5225,25689083.2042,27665901.2905
"TG(20:0)",47649618.593,43920565.6586667,66407696.8193333,21312415.0023333,24565660.6636667,24835261.6123333
"TG(20:1)",132996144.286923,130567785.955385,152055304.908077,51767937.5493923,72352693.6742917,69771877.0452583
"TG(20:2)",289927003.056667,318576410.200667,356141550.158333,113101052.381667,135203053.542,170876133.204333
"TG(20:3)",337468467.219658,274083608.572108,326183711.233167,136551179.558833,151021960.95525,154053407.43525
"TG(20:4)",94990675.472425,115541089.640225,141268500.2771,78171047.38876,82631876.139955,78843509.686665
"TG(20:5)",156602682.605571,154035410.042871,213231662.745429,67443633.0981357,83969663.9467214,70656112.6130929
"TG(22:0)",965963.44,1295337.376,297326.8356,115177.7583,314204.818,294128.676
"TG(22:1)",64405026.41004,80944265.95694,111260332.901313,16666461.77914,19948780.8761533,22149115.7388133
"TG(22:2)",2.09e+08,2.37e+08,2.82e+08,50300000,86500000,74200000
"TG(22:3)",103185324.0447,119709941.497717,130433438.2272,44929328.2222333,34883316.3013167,39393356.18605
"TG(22:4)",317924736.673333,465599643.291889,432060465.846778,123587543.012044,156332169.869063,140279747.356519
"TG(22:5)",102078260.97659,126638894.851783,163331004.158083,67601477.7158138,79222118.0233897,71923039.9645276
"TG(22:6)",94184840.87425,112369428.658821,140835436.42655,75002493.3654167,96497547.3075792,80493246.6042083
"TG(24:0)",2983197.399,3017631.87,4065913.749,174369.9474,115.57,129021.245
"TG(24:2)",18905869.047,26369458.002,31451745.362,5519739.3325,6438303.627,8333727.6665
"TG(28:0)",1612471.052,1600776.892,1515601.702,3360926.893,4189484.936,4230859.314
"TG(4:0)",3808787.6404,4055129.3276,3215074.347,9911876.99433333,10374093.8103333,8795626.44883333
"TG(6:0)",33610734.7960115,20888681.7792778,23060733.0946615,34251080.8674036,29662119.5596214,39227081.5105036
"TG(8:0)",6109241.14863333,5820559.63161111,4065100.60726667,36599713.0427222,19517523.3452778,28685958.8455
