"subclass","DGAT_1i_001","DGAT_1i_002","DGAT_1i_003","OA_001","OA_002","OA_003"
"Cer(14:0)",6367369.5865,7263095.257,8201585.213,5916264.29465,5624198.435,6142355.765
"Cer(16:0)",19454836.2492333,20724147.5593778,24557370.4665,22333341.187375,24489420.9968889,25941521.9256
"Cer(18:0)",7197875.29135,6975326.67361429,8134650.50562857,9332122.61597143,8978702.95147143,8672163.21898571
"Cer(18:1)",546398.6286,502560.5801,218182.394075,3601980.33114,2561250.91326,3260615.91816
"Cer(18:2)",38855.676,41109.429,14589.7198,608539.89,548773.5425,669713.552
"Cer(20:0)",1.2e+07,13400000,15600000,12200000,1.4e+07,18500000
"Cer(20:1)",2902027.207,3209005.97495,2856707.4232,5815611.9845,5074373.879,5074917.2955
"Cer(20:4)",6288683.912,9162177.124,14600000,16300000,10200000,7652644.301
"Cer(22:0)",13886694.66,14057528.28228,17583314.6397,30430438.13806,40022250.5541,41278387.1796
"Cer(22:1)",16328281.0276667,20957760.2876667,20912576.2663333,18738628.6053333,21142505.255,20092334.7503333
"Cer(22:2)",312595.8888,1260602.494,220088.4132,1974391.573,2669154.96,1754194.802
"Cer(24:0)",39840395.2268889,34297673.0964444,31530993.8307778,181151532.265889,184404413.189333,199500968.685889
"Cer(24:1)",56147287.1324,64436533.9435,74371039.33458,85258685.68938,90448200.72504,84412935.9356
"Cer(24:4)",2552562.095,2804446.816,2518853.281,1127706.2,580744.005,721632.436
"Cer(26:0)",10097587.449625,7982585.548,6974987.9560625,35289757.755125,37212679.353875,31840522.09975
"Cer(26:2)",129435.5523,16947.7125,284996.4531,217917.6456,980171.262,128575.2423
"Cer(26:4)",246058.686,3633050.39,244646.4525,1748836.145,1833579.2,357210.288
"Cer(d16:0)",1685849.642,347195.4588,22600000,2790465.932,76700000,93700000
"Cer(d16:1)",1555441.2205,1639486.438125,2145916.630975,2875936.294625,4711041.7953,4186073.20275
"Cer(d18:0)",9329196.18311667,9403114.9731,13571376.1134,12203094.96206,10836471.176,11799667.5448
"Cer(d18:1)",32241799.032079,36006700.3900789,39566659.5159158,50333141.4173105,52255071.8541579,50273889.1172895
"Cer(d18:2)",8603230.7992,10841256.92238,11119199.52481,12569768.4268091,15900214.5799545,15094972.3782091
"Cer(d22:0)",128220.0603,346343.3028,1066073.086,1199703.783,1145829.479,801959.6418
"Cer(m18:0)",7176517.964025,8039989.2116,10972524.67275,8331345.74935,8103543.47695,6275179.09175
"Cer(m18:1)",18600000,15600000,13800000,1.3e+07,14100000,14500000
"Cer(m20:0)",8965828.598,9042861.569,9142894.085,8659318.876,8780697.96,7766703.146
"Cer(m22:1)",4199663.523,5776318.321,7003453.437,3868222.6,3591517.123,433793.7906
"Cer(t18:0)",23812508.5489667,16411665.43494,13941212.06992,96618785.03209,100774301.60019,122830761.90004
"Cer(t18:1)",18597667.1826286,14715987.761,11812331.5992571,117542564.767143,117884344.199914,102044774.724457
"Cer(t20:0)",722445.25,691311.942,847138.874,644250.243,626075.868,711166.856
"Cer(t20:1)",216937.832,220410.241,46342.9455,157213.711,149044.22,160476.722
"ChE(16:1)",4535110.233,6012584.206,8436912.2,460391.582,167006.04,449449.561
"ChE(18:1)",1.03e+08,1.91e+08,2.34e+08,10400000,15800000,23500000
"ChE(18:2)",524476.571,290606.1642,1023816.742,195943.9581,83292.9768,150171.91
"ChE(18:3)",15500000,17700000,23300000,4380733.742,5253259.366,6987479.341
"ChE(20:1)",3901194.539,5948757.447,8253953.001,141701.205,NA,154143.608
"ChE(20:2)",54200000,53700000,46100000,21100000,23400000,31400000
"ChE(20:3)",1.74e+08,2.84e+08,57900000,1.08e+08,1.16e+08,1.31e+08
"ChE(20:4)",1.22e+08,99800000,7.2e+07,5.35e+08,4.49e+08,4.71e+08
"ChE(20:5)",1.71e+08,1.99e+08,2.16e+08,5.2e+07,63100000,66100000
"ChE(22:3)",7808817.097,4767226.092,3956674.918,5790814.698,4993985.459,7249822.778
"ChE(22:4)",1.46e+08,1.86e+08,2.32e+08,22300000,25500000,29100000
"ChE(22:5)",4.36e+08,5.3e+08,6.05e+08,1.08e+08,1.24e+08,1.32e+08
"ChE(22:6)",5.07e+08,5.75e+08,7.21e+08,1.49e+08,1.83e+08,1.94e+08
"DG(10:2)",8124359.713,4432648.485,7797072.366,1.16e+08,79200000,99700000
"DG(14:0)",10400000,606674.2569,1e+07,6719285.019,15117193.667,17493893.95495
"DG(16:0)",45134833.76125,46911470.112875,21740260.5571875,137259229.913633,108246955.486778,136729704.469
"DG(16:1)",2171906.690625,2734217.34015,1859436.08746667,5022387.769,2646688.81425,10202678.5064
"DG(18:0)",50474504.7259091,50973122.3672364,44961889.2203,170433287.794273,166390469.092,171286479.013273
"DG(18:1)",163284931.81673,177928551.43626,177329839.99328,350966342.515635,338329103.64125,386052576.788
"DG(18:2)",94269135.6684,96798239.86926,81884552.4295,363377113.5483,284374567.5277,281440000
"DG(18:3)",37029627.7031833,24296857.5884333,52506725.03575,44879498.576425,37966322.982,46008192.7408125
"DG(20:0)",18400000,17800000,10700923.3295,8.8e+07,6.7e+07,75650000
"DG(20:1)",9.9e+07,1e+08,1.21e+08,2.2e+08,2.14e+08,2.34e+08
"DG(20:2)",14500000,12800000,14100000,54500000,41400000,48700000
"DG(20:3)",15246583.471,16309057.7935,16827653.981,24650000,22750000,31300000
"DG(20:4)",45806039.4126667,54637281.0263333,52068805.3284333,81573313.2073,75485016.6173333,88228225.4476667
"DG(20:5)",379121.532,301951.148,655685.4528,953852.0052,1247580.08,1428058.699
"DG(22:0)",7424463.0955,5748688.1575,5137014.7585,32750000,22600000,25200000
"DG(22:1)",11800000,14600000,10200000,24400000,23600000,28500000
"DG(22:2)",1210246.107,369961.8753,2108988.986,437954.4318,198938.046,3135303.563
"DG(22:3)",955120.8906,1892399.289,906691.1838,124408.9257,4134138.27,14400000
"DG(22:4)",24623312.0395,31720026.9915,32402735.693,40498512.8125,37566031.122,44922218.514
"DG(22:5)",27627786.5114667,34138523.479,35033489.1824667,61031887.0956667,56079098.3893333,68370209.8343333
"DG(22:6)",23054047.7823333,28437576.341,29652844.6417333,48314745.2318,45231068.5026667,58200000
"DG(24:0)",4145408.014,3669057.74,2447635.934,14200000,1.3e+07,11200000
"DG(6:0)",8124359.713,4432648.485,7797072.366,1.16e+08,79200000,99700000
"LPC(14:0)",159715.9989,169802.1471,49257.588,425633.0169,537501.288,370557.4752
"LPC(14:1)",2188449.997,2004616.979,2867869.71,559991.0928,2833446.179,21428.9535
"LPC(16:0)",16017525.2835,18090609.5135,21040875.4565,26212132.7025,27805782.3955,28934802.509
"LPC(16:1)",18667040.646,21661320.5865,24168330.8005,20588979.7265,22349491.134,19868482.394
"LPC(16:2)",97656.548,40935.683,42400.5942,58572.2658,93199.377,153015.7437
"LPC(18:0)",21604229.401,22223879.46,28834034.492,29774140.955,34650645.6325,30685094.95
"LPC(18:1)",60300000,71750000,73850000,82050000,91950000,90800000
"LPC(18:2)",3676960.699,5307360.7795,4924493.1985,4588960.973,5144862.4835,4938220.298
"LPC(20:0)",1513241.161,2077503.545,2127740.522,2272472.792,2664686.459,1384645.24
"LPC(20:1)",6166182.492,6520402.65,8123556.874,6863703.573,7764270.962,8867587.235
"LPC(20:2)",NA,37999.6308,76954.8909,127197.4572,NA,105098.731
"LPC(20:3)",NA,9027.767,3961.67,NA,NA,7169.555
"LPC(20:4)",NA,13251.1761,10861.4982,47798.008,25790.0331,17817.477
"LPC(20:5)",NA,NA,NA,21045.9201,20038.104,39554.529
"LPC(22:1)",1344318.397,1561778.092,1689044.423,1261190.492,1353906.263,1432675.457
"LPC(22:5)",61840.606,58047.2568,127550.829,NA,156820.441,542542.175
"LPC(22:6)",161.612,NA,13376.078,152.2719,2085.2859,150.657
"LPC(26:0)",3137109.444,3486193.803,2923772.651,2769676.477,2741745.244,2111307.23
"LPC(28:0)",65600000,60700000,83300000,49900000,45300000,52700000
"LPC(28:1)",5935494.289,7264538.795,4808243.945,5873599.504,6471595.243,6196333.003
"LPC(30:1)",7663409.717,7359456.351,6583333.778,6106682.741,6078470.712,4786637.505
"LPC(32:0)",58400000,66100000,70700000,52100000,51400000,54800000
"LPC(32:1)",57900000,6.5e+07,6.8e+07,56300000,58400000,56600000
"LPC(34:0)",8619149.377,9509796.088,10500000,5567469.681,5204951.596,4578621.959
"LPC(34:1)",1.82e+08,2.03e+08,2.1e+08,1.66e+08,1.78e+08,1.7e+08
"LPC(36:0)",1533991.866,3978763.819,5032384.925,849003.0267,213308.2233,1312613.465
"LPE(16:0)",2068579.438,1776632.882,2224827.691,2663786.346,2969744.668,3835939.099
"LPE(16:1)",3697374.187,4747760.226,5064863.786,3791613.315,4101331.522,4193445.739
