"subclass","DGAT_1.2i_001","DGAT_1.2i_002","DGAT_1.2i_003","OA_001","OA_002","OA_003"
"PG(34:1)",1.86e+08,2.48e+08,2.36e+08,2.3e+08,2.51e+08,2.27e+08
"PG(34:2)",11200000,16200000,15200000,13100000,13500000,14200000
"PG(36:1)",24900000,56900000,41300000,62700000,57600000,66800000
"PG(36:2)",1.03e+08,1.44e+08,1.31e+08,1.39e+08,1.5e+08,1.47e+08
"PG(36:3)",1348783.834,1972885.722,1563896.157,3775567.904,3909915.924,4309620.356
"PG(36:4)",381064.0746,481183.399,425091.5438,1043104.623,1213969.1132,1081350.09
"PG(38:1)",2184476.964,3234923.34,2605192.392,3015256.034,3332954.051,3143651.48
"PG(38:2)",1111468.309,1770653.945,1075862.033,1234308.203,1382445.289,1397020.424
"PG(38:3)",4571198.132,4437968.133,3992396.191,4574698.874,4592737.762,4448588.627
"PG(38:4)",1381656.332,2030684.4288,1492302.003,1252410.96,1755452.637,1810123.384
"PG(38:5)",12800000,8037451.923,9415994.293,8309751.176,12100000,12200000
"PG(38:6)",5052731.5555,5506810.209,5542280.7669,3364281.4657,4840481.716,4107932.5015
"PG(38:7)",128373.8649,42390.6447,257486.0574,477577.337,195942.1557,502595.053
"PG(40:5)",2925449.334,4555194.077,4157113.521,2231211.987,2172974.815,2356345.736
"PG(40:6)",8206382.027,4498670.867,8277803.485,7155531.924,6832438.413,8647332.921
"PG(40:7)",57974916.209,69190386.555,58764849.926,59012513.892,56668817.03,51721485.1204
"PG(40:8)",2066078.186,1458453.6416,2783985.344,2128920.063,2421864.152,1386009.0285
"PG(40:9)",543450.269,671749.088,690061.24,136536.22,125418.583,137835.232
"PG(42:10)",8621847.2035,9811221.256,9177264.6333,2509414.019,2659546.5268,1748856.1282
"PG(42:11)",1582840.281,2765135.049,2597343.281,806798.806,662208.458,610633.656
"PG(42:8)",1004101.457,1035945.212,1081888.177,106281.361,83590.3716,82864.6518
"PG(42:9)",1012352.6546,1187059.592,1634925.067,176005.2382,149325.422,NA
"PG(44:10)",3275220.095,3497097.4881,3043998.948,812690.6597,704778.456,842327.095
"PG(44:11)",5367454.237,6055731.295,5197129.852,1518708.634,1919638.416,1659980.211
"PG(44:12)",23100000,26100000,25900000,10800000,11200000,10500000
"PG(44:9)",346230.24,355192.9884,270908.26,40085.2353,10263.441,3482.2416
"PG(50:1)",648117.25,3315914.61,814284.236,15300000,16300000,1.5e+07
"PI(32:1)",177254.9183,1130760.0393,351761.4822,317020.0349,736801.1348,645437.9226
"PI(32:2)",249168.7659,794208.194,447792.731,154801.1043,230891.172,465183.828
"PI(34:1)",6028850.5,19138226.44,14551323.122,19886521.68,20139395.071,41893749.823
"PI(34:2)",2693622.201,7355116.989,4256480.104,6062281.707,5605712.74,10500000
"PI(36:1)",1.17e+08,3.74e+08,2.02e+08,2.02e+08,1.78e+08,5.06e+08
"PI(36:2)",2551305.072,17768873.4033,7361333.5619,7646394.5737,9268729.7045,18876420.1646
"PI(36:3)",4073048.205,11300000,7111533.876,6681078.526,7031129.804,11300000
"PI(36:4)",2100308.856,4133057.247,2320178.439,3013437.4224,3293286.044,8295129.3527
"PI(36:5)",1210766.192,1238053.73,330932.9394,463944.4287,119642.4951,400528.0485
"PI(38:1)",68981.748,1195315.974,257177.129,689682.693,873308.503,1884548.26
"PI(38:2)",3894752.576,11133630.314,5618632.393,7294873.846,6238402.587,13968173.308
"PI(38:3)",NA,63616.1907,NA,26041.8996,96098.193,37894.7409
"PI(38:4)",165818000.9022,402457321.6621,290988160.9086,308504101.2906,314239710.6372,446506017.842
"PI(38:5)",82300000,187200000,107400000,92100000,8.3e+07,156500000
"PI(38:6)",3554365.46,8558018.212,4807020.784,2698037.955,2895758.523,5528439.571
"PI(40:3)",4555.1775,1169290.346,369838.392,486957.361,412660.011,1214962.064
"PI(40:4)",4943416.9705,13296730.895,7643040.429,7119218.6671,6493404.428,12731794.185
"PI(40:5)",14435273.201,35929964.156,20522047.821,24036874.17,21377453.806,37873631.845
"PI(40:6)",5762326.647,13470720.228,7922792.047,7220217.325,9499569.108,15462355.069
"PI(40:7)",NA,29255.041,21786.4962,5368.138,11603.978,9902.52
"PI(40:8)",196500.989,341509.222,239344.983,149675.653,158866.9638,308425.306
"PS(34:1)",NA,2560489.42,703779.144,1404249.498,1515563.229,10600000
"PS(34:2)",1100771.718,1123545.1729,1143498.0422,1693073.959,1544318.3724,2000781.7499
"PS(36:1)",NA,21300000,4890849.1,6453146.329,7795119.671,71100000
"PS(36:2)",NA,589867.1979,282338.217,478083.5712,492277.0854,7358261.2111
"PS(36:3)",1165858.346,1257736.614,696242.484,1061158.441,1045345.531,990488.85
"PS(38:3)",152209.453,41791.2063,93364.415,45537.7674,31664.5512,35783.7936
"PS(38:4)",3051778.2734,7759775.891,5604220.586,5425298.119,3892491.036,6189592.165
"PS(38:5)",296827.363,166950.1323,656865.395,540808.777,673343.6988,1681474.152
"PS(40:5)",122396.1546,6670224.266,2092750.556,3800504.804,4058920.589,29100000
"PS(40:6)",NA,2308985.47,337156.9365,919970.787,338380.487,3809524.477
"PS(40:7)",NA,687492.2655,722869.665,1783325.638,916093.0224,8327628.418
"PS(42:10)",128855.1978,109616.4357,175802.3769,24738.2067,36891.1662,269812.164
"PS(42:8)",1646213.99,1789393.8,1509474.44,2457010.504,2160802.008,2358303
"PS(44:12)",312999.336,158318.647,181332.038,206280.7221,395203.858,303516.1806
"SM(36:2)",2452157.3524,3017023.559,1379896.969,1122907.427,1241872.5114,2876386.7769
"SM(36:3)",29800000,29200000,29600000,21400000,18900000,20200000
"SM(40:1)",43400000,54100000,41100000,37700000,37100000,44300000
"SM(40:2)",195019.5612,140988.4245,216008.7873,NA,158784.0528,85678.0773
"SM(42:5)",4.7e+07,47200000,41600000,65700000,66400000,67800000
"SM(42:6)",3899727.863,846199.2015,5435590.944,1655101.811,1004146.16,867091.1139
"TG(22:4)",3635554.424,4041352.241,9808162.155,9719808.616,6547062.416,3728458.419
"TG(24:0)",159860.7378,741934.3935,1441447.657,3379145.828,1227469.54,1594301.926
"TG(24:7)",819907.19,1363193.291,1596553.59,2711468.507,3331873.01,3518485.455
"TG(26:0)",1078244.673,5878566.045,4649506.651,10400000,3610816.033,4036671.713
"TG(28:0)",211613.4033,4513781.937,3646955.08,8971748.124,3266717.943,3137996.779
"TG(34:0)",18400000,22100000,22800000,21400000,29100000,40200000
"TG(34:1)",1.2e+07,14500000,11600000,1.8e+07,13600000,35500000
"TG(34:2)",4185786.281,7033254.537,16600000,6802313.635,6065380.886,148968.8388
"TG(36:0)",6914512.837,14179970.59,14525598.232,7024742.698,10233555.513,14977348.815
"TG(36:1)",130081900.6,190708657.485,166297567.967,242877275.232,172103369.648,263768264.73
"TG(36:2)",5e+07,6.4e+07,58200000,1.6e+08,1.65e+08,1.94e+08
"TG(36:3)",4.6e+07,102200000,99200000,135300000,104800000,139100000
"TG(36:4)",42096122.215,158439848.32,159579518.634,255310634.95,102701416.429,187088173.498
"TG(36:5)",1.7e+07,60500000,53700000,79100000,51200000,54800000
"TG(38:0)",8304435.717,12558098.358,14130577.707,7039446.159,10702653.109,11685784.728
"TG(38:1)",23552279.668,29169719.143,14170382.694,32589264.98,22687561.627,54925394.497
"TG(38:2)",14222749.515,42922164.126,38285958.695,76991270.608,71439772.015,85651095.178
