"subclass","DGAT_2i_001","DGAT_2i_002","DGAT_2i_003","OA_001","OA_002","OA_003"
"DG(38:5)",1.6e+08,1.44e+08,1.27e+08,1.53e+08,1.41e+08,1.64e+08
"DG(38:6)",7659666.32,16993731.741,14965775.287,4693748.9876,5386541.633,19138688.202
"DG(40:1)",10300000,9808831.882,7258839.934,12500000,10700000,13800000
"DG(40:2)",61700000,60400000,45200000,77400000,58100000,65100000
"DG(40:3)",3830038.16,6854412.61,655520.5608,437954.4318,198938.046,3135303.563
"DG(40:4)",6469518.1548,11429906.525,5631135.5346,5621434.5507,9166200.514,20044437.028
"DG(40:5)",1e+08,97800000,75900000,96500000,91600000,112800000
"DG(40:6)",149700000,143788521.082,122045402.688,174300000,152291539.123,182400000
"DG(40:7)",1.34e+08,1.21e+08,1.04e+08,1.29e+08,1.26e+08,1.51e+08
"DG(42:2)",9702918.65,8751339.154,8603224.238,14200000,1.3e+07,11200000
"LPC(14:0)",137833.6068,748494.065,100351.9656,425633.0169,537501.288,370557.4752
